LAT,LONG,NAME
32.8745724,-85.1732743,West Point Academy (historical)
32.8745724,-85.1732743,West Point Elementary School
34.2250945,-85.1710616,Coosa Valley Tech School
34.2342609,-85.1705061,Eighth Ward School (historical)
34.2339832,-85.1702283,Southeast Elementary School
32.8765168,-85.1702187,Tenth Street School
34.2545381,-85.1680061,Central Primary School
34.2492605,-85.1677282,East Rome Junior High School
33.341783,-85.167722,Simpson School (historical)
34.2373164,-85.1666171,Banks School
34.2384274,-85.1652281,East Rome School
34.313703,-85.1646726,Glenwood Elementary School
33.9514906,-85.1638382,Antioch School (historical)
32.8804056,-85.1629963,Harrison High School
34.2520382,-85.1613391,East Rome High School
34.2337054,-85.1605058,East Central Elementary School
34.2803707,-85.1605058,Riverside School
34.3292582,-85.1605059,Warren School (historical)
33.3209502,-85.1593881,Mount Salem School (historical)
34.2453718,-85.1591168,Saint Marys School
34.2678711,-85.1574501,Northside School
32.9134602,-85.1574408,Pine Grove School (historical)
34.9686867,-85.154119,Graysville School
34.2581492,-85.1535611,Main Elementary School
33.7287177,-85.1530039,Jones School
33.5851099,-85.1513355,Sand Creek School (historical)
34.8048005,-85.1493957,Woodstation School (historical)
33.8912141,-85.1485599,Mountain View School (historical)
33.2548409,-85.1485538,Camp Ground School (historical)
34.1589852,-85.1480051,Donahue School (historical)
34.2650934,-85.1474498,North Rome School
34.176207,-85.1460606,Midway School
33.4126144,-85.141611,Welcome School (historical)
34.3614794,-85.1405052,Wright School (historical)
34.2670378,-85.1371717,North Heights Elementary School
34.6811924,-85.1349502,Armuchee Valley School
33.0204019,-85.1349409,Pleasant Grove School (historical)
34.284815,-85.1305049,Homewood School (historical)
33.4620575,-85.1296668,Roopville Elementary School
34.2409274,-85.1285603,Turner School (historical)
33.5503886,-85.1282789,Tallapoosa School (historical)
32.973181,-85.1260514,Center School
34.8150783,-85.1221726,Hickory Grove School (historical)
33.6745524,-85.1218912,Miller Academy (historical)
33.6328868,-85.1202241,Smyrna School (historical)
33.3917817,-85.115499,Bethel Academy (historical)
33.667886,-85.1152244,Walnut School (historical)
34.9228543,-85.1130063,Ringgold High School
34.9184099,-85.1124507,Ringgold Elementary School
34.6734149,-85.1116161,Villanow School (historical)
33.2820625,-85.111331,Johnson High School
33.0331796,-85.1107736,Tatum School
34.9214655,-85.1105062,Ringgold Junior High School
34.4012005,-85.1091153,Margie School (historical)
34.3484243,-85.1088375,Oostanaula School (historical)
33.3634491,-85.1071651,Centralhatchee High School (historical)
33.3637269,-85.1066096,Centralhatchee Elementary School
34.1181531,-85.1057815,Harmony School (historical)
34.957576,-85.1032839,Pleasant Valley School
33.3437275,-85.1004981,Riverside School (historical)
31.8854383,-85.1002084,Quitman County Elementary School
34.3087033,-85.0999483,Model High School
33.5717771,-85.0977229,State University of West Georgia
33.2770627,-85.0932748,Heard County High School
33.2776183,-85.0932748,Franklin Grammar School
34.1662073,-85.0902257,Unity School (historical)
34.1920399,-85.0885589,Bass School (historical)
33.5092786,-85.087722,Oak Grove School (historical)
33.4098368,-85.0857762,Glenloch School (historical)
33.6753859,-85.0832791,Bold Springs School (historical)
33.2248418,-85.0832741,Harmony School (historical)
34.7961899,-85.0830046,Trickum School (historical)
33.5764993,-85.0827225,Maple Street Grade School
34.4159224,-85.0827255,Poplar Spring School (historical)
33.5592775,-85.0821667,Carrollton Junior High School
32.9259603,-85.0821608,Gray Hill School
31.8859938,-85.0815967,Keglar School
33.5659439,-85.0813335,Carrollton High School
33.5828881,-85.0813337,Carver High School
33.581777,-85.080778,Alabama Street School
